country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Paraguay,42,42,,,44,40,52,,64,101,,,,,,,,,
Peru,272,261,256,237,247,,268,247,283,288,398,,617,804,,992,1080,,
Philippines,1640,1580,,,,1840,1970,1920,,,,,2800,3570,3440,3360,3640,13600,81700
Poland,5890,5890,6200,6450,7040,6140,5420,8820,11400,13800,18700,22100,27300,32500,41400,47500,64900,81100,94500
Portugal,1850,1990,2270,2320,2460,3400,3640,3560,13400,42900,51800,58700,71700,107000,145000,160000,199000,231000,252000
Romania,3900,5160,5490,6280,7390,8210,6740,7180,8320,11000,15100,18700,24000,29100,37800,91300,113000,132000,143000
Russia,,,,,,,,1200,59200,43700,41400,41400,46300,48200,58500,67900,89400,108000,120000
Rwanda,6,1,1,2,6,1,4,1,2,,3,,,,,4,,,
Samoa,,4,,,,,,,,,,2,3,,,,,,
Saudi Arabia,,,,,,70,455,519,626,750,720,746,837,1060,1330,1220,873,729,613
Seychelles,1,2,,,5,,,,,,,1,6,,,,,,3580
Sierra Leone,,,,,,,,,,,,5,,9510,33200,72500,116000,151000,177000
Singapore,931,1010,,,,838,1030,1100,1350,1430,1820,14200,38600,37700,45000,51500,70200,79000,94300
Slovak Republic,,,,,,,,,,9460,14600,17900,23100,28200,36900,43100,60500,77400,158000
Slovenia,,,,,,,,,420,696,8410,16600,22000,27500,36300,91000,113000,131000,137000
Solomon Islands,12,4,8,6,2,2,,,,,,,,,,,,,
Somalia,8,7,,,,,,,,,,,,,,,,,
South Africa,10200,9900,9780,9770,9730,9980,10500,10200,10100,9810,10400,11100,,,8,26500,58200,76800,90700
South Korea,8630,11800,14100,18800,22800,26700,31400,36200,40200,47300,60600,96600,114000,130000,46500,133000,172000,190000,204000
Spain,10700,11300,14400,23400,26200,30700,49000,48900,53600,56700,64400,71300,84000,114000,148000,163000,202000,235000,256000
Sri Lanka,94,476,759,1030,1440,1950,3280,4490,6040,8520,12600,16000,21200,26400,35000,41300,58900,76100,89800
St. Lucia,1,,,,,,2,,1,,6,4,3210,22900,34100,40900,58700,75900,89600
St. Vincent and the Grenadines,,,,,,,,,,,,,8,,,,2,,17100
Sudan,,306,622,887,1320,1820,3200,4410,5990,8470,16100,29000,39100,49900,67700,80400,116000,150000,177000
Swaziland,35,30,,,15,56,33,60,126,98,2440,15000,20300,25700,34500,40700,58000,75100,88400
Sweden,6670,30300,32600,34700,39200,44000,49600,48600,52700,55600,63700,70600,83400,115000,150000,165000,204000,232000,256000
Switzerland,6110,28900,31400,33900,39000,43600,49400,48500,52900,55600,63300,69700,78300,113000,148000,162000,202000,234000,254000
Syria,,,,,,,,,,,,55,,,,,296,,30
Tajikistan,,,,,,,,,,,7080,15600,19600,24800,33800,40100,58100,75500,89400
Tanzania,,30,,,37,23,,,,,,,,,,14500,109000,149000,177000
Thailand,667,707,694,882,1120,1420,1940,1990,1960,3350,3930,,4560,5440,5070,,5670,,
Trinidad and Tobago,,,,,,,,,67,91,7280,15500,20800,26300,35000,41200,59000,76100,89900
Tunisia,213,216,167,,,144,160,128,,142,144,146,174,,,,,195,72600
Turkey,600,593,726,898,900,1050,1230,1210,1250,1230,1370,1710,20000,28200,37400,43800,77300,229000,251000
Turkmenistan,,,,,,,,,,,,8420,19000,24600,33700,40100,58100,75400,89300
Uganda,28,33,33,37,47,46,59,74,96,104,80,20800,38500,49800,67600,80400,116000,150000,177000
Ukraine,,,,,,,,,579,19400,19600,22400,26500,32700,42000,48300,65900,84400,90600
United Arab Emirates,,,,,,,,,,,,,,,8,24200,56200,75400,89700
United Kingdom,32800,70200,73400,76500,84200,90200,97900,95500,99200,101000,108000,116000,129000,148000,176000,193000,233000,265000,285000
United States,111000,117000,122000,134000,147000,162000,176000,177000,187000,191000,210000,235000,223000,237000,263000,295000,332000,376000,382000
Uruguay,190,168,163,135,172,134,,171,179,176,169,256,207,402,496,552,616,,496
Uzbekistan,,,,,,,,,,3770,12200,16900,22000,27300,35100,42400,59900,77200,90600
Venezuela,2230,1530,1570,1680,,1370,1350,1360,1540,1680,1730,,2000,2520,,,2350,,
Vietnam,,73,65,,72,70,79,62,83,5010,12500,17000,22200,27400,35800,42200,59800,76500,90100
Zambia,79,105,133,120,109,92,105,120,161,173,90,94,99,96,93,92,10,3190,158000
Zimbabwe,225,250,287,263,216,219,260,270,302,293,91,233,211,22000,66300,80200,116000,150000,178000
