country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cuba,,,,,,,,,,,2200,2350,2420,2460,2450,2650,2760,2970,3140,3160,2990,3560,3860,4050,4350,4380,4360,4210,4330,4320,4130,3670,3240,2740,2740,2780,2990,3060,3060,3230,3400,3520,3550,3680,3880,4320,4850,5170,5390,5410,5550,5740,5900,6060,,,,
Cyprus,,,,,,,,,,,,,,,,7680,9300,11000,11800,12800,13400,13400,14100,14600,15700,16300,16600,17800,19200,20400,21500,21100,22400,22100,22800,23500,23400,23500,26600,25300,25900,26600,27600,28200,29000,29600,30200,31700,32000,30800,29900,30100,27900,25900,26100,27900,28000,28700
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12300,12300,12700,13300,13800,13800,13700,13900,14500,14800,15000,15600,16100,17100,18000,18800,19100,18000,18300,18600,18700,18600,18900,19900,,
Denmark,,,,,,,,,,,30700,31300,32400,33600,32900,32300,34200,34700,35300,36300,36200,35700,36800,37800,39300,40800,42800,43000,42900,43000,43500,43900,44800,45000,47300,48600,49700,51000,52100,53600,54700,55400,55600,55900,57900,59300,61600,61500,61200,57800,59000,59800,59800,60600,61600,62000,62300,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6780,,,,,,,
Dominican Republic,1310,1220,1380,1430,1480,1270,1380,1390,1350,1450,1690,1830,2010,2170,2230,2290,2380,2410,2440,2510,2550,2580,2590,2640,2620,2450,2530,2700,2670,2760,2570,2560,2770,2860,2900,2990,3170,3340,3490,3640,3790,3760,3870,3720,3640,3920,4250,4780,4940,4920,5250,5330,5410,5500,5830,6200,6510,6830
Ecuador,,,,,,2390,2320,2350,2330,2370,2460,2530,2580,2820,3060,3370,3500,3460,3550,3550,3590,3680,3570,3470,3430,3430,3460,3340,3430,3380,3430,3540,3580,3610,3700,3710,3690,3780,3810,3480,3410,3570,3690,3720,3940,4110,4230,4250,4510,4480,4590,4860,5060,5230,5340,5260,5100,5150
Egypt,,,,,,757,745,733,734,761,785,793,792,775,777,820,914,1000,1020,1040,1100,1110,1190,1250,1290,1300,1280,1420,1470,1490,1520,1520,1560,1570,1610,1660,1720,1790,1830,1910,1970,2000,1990,2010,2050,2110,2230,2350,2480,2520,2550,2530,2530,2520,2540,2620,2690,2730
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,2120,2290,2430,2570,2700,2710,2800,2880,2910,2950,2990,3020,3050,3100,3210,3340,3450,3540,3370,3390,3430,3390,3420,3470,3590,3630,3260
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,590,456,468,527,497,515,476,491,479,452,519,522,695,718,693,716,1130,2950,3280,4140,4180,5760,4290,5700,4130,9760,12400,13900,13600,13700,10100,10400,11100,10800,10600,10900,9950,9110
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,432,526,547,578,619,624,611,572,601,596,559,548,550,532,529,467,476,478,510,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9770,10400,11100,11900,12700,14100,15500,16400,15800,13800,13900,15000,15900,16500,17000,17400,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540,,,,,,,
Finland,,,,,,,,,,,18200,18600,19900,21200,21800,22000,22000,21900,22500,24100,25300,25400,26000,26600,27400,28300,29100,30000,31500,32700,32600,30300,28800,28300,29600,31000,32300,34500,36100,38000,40200,41400,42100,42500,44600,45500,47500,49400,49500,45600,46800,47400,46500,45900,45600,45500,46500,
France,,,,,,,,,,,,21100,21800,23000,23700,23400,24300,25000,25900,26800,27200,27300,27800,27800,28000,28400,29100,29800,30900,32000,32700,33000,33500,33200,33700,34300,34800,35600,36800,38100,39200,39700,39500,39700,40600,41000,41800,42600,42400,40800,41500,42300,41800,41800,42000,42300,42700,
Gabon,,,,,,,,,,,7240,7730,8470,9050,12100,14400,19400,16700,11800,11100,11100,11600,11000,11300,12300,11700,11500,9260,10200,10900,10600,11000,10100,10200,10500,10600,10700,10900,11500,9980,8850,9330,9410,9220,8490,8910,7960,8000,7360,7720,7600,7540,8220,8540,9340,9060,9120,9190
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,506,494,499,514,528,545,503,517,529,515,519,517,518
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,,,,,,,
Germany,,,,,,,,,,,19700,20300,21000,22000,22200,22100,23300,24100,24900,25900,26200,26300,26200,26800,27700,28400,29000,29300,30500,31500,32900,34100,34400,33800,34300,34700,34900,35500,36000,36600,37700,38300,38000,37900,38900,39300,41200,42400,42800,41000,42600,45200,45300,45300,45900,46300,46700,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,1140,1220,1240,1290,1410,1480,1590,1590,1660,1670,1760
Greece,,,,,,,,,,,13600,14700,16000,17300,16200,17000,18000,18300,19300,19700,19700,19100,18800,18400,18500,18800,18800,18400,19100,19700,19800,20200,20200,19700,20100,20400,20800,21600,22300,22700,23400,24300,25000,26200,27500,27400,28600,29300,29000,27900,26400,23800,23000,22200,22600,22700,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6980,,,,,,,
Guatemala,1450,1460,1470,1560,1590,1620,1650,1670,1750,1780,1830,1880,1960,2040,2130,2100,2220,2350,2410,2470,2490,2430,2280,2170,2110,2050,1980,2010,2050,2080,2100,2150,2200,2240,2270,2330,2330,2390,2460,2490,2520,2540,2560,2560,2570,2590,2660,2760,2770,2720,2740,2780,2830,2880,2930,2990,3030,3060
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,607,608,589,607,626,653,666,673,683,732,816
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,512,506,498,502,512,518,524,523,529,544,580,555,544,566,580,602,606
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,766,767,773,770,745,727,717,683,678,692,705,700,712,665,693,706,721,734,731,742,735
Honduras,1120,1080,1100,1100,1130,1180,1210,1230,1280,1260,1260,1270,1310,1370,1340,1310,1380,1470,1570,1590,1540,1550,1450,1420,1440,1460,1420,1450,1480,1510,1410,1410,1430,1540,1480,1480,1500,1560,1570,1520,1560,1560,1570,1600,1650,1710,1780,1880,1910,1820,1840,1860,1880,1890,1900,1960,1990,2050
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8290,8530,8620,8590,8750,9130,9430,9930,10300,10800,11300,11800,12300,12900,12800,13000,12300,12400,12700,12600,13100,13500,13900,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30300,31600,33500,34500,35300,36400,37700,37900,39400,40600,40600,44000,36900,35500,35000,37100,38800,43600,43800,45600,,
India,303,308,310,323,339,323,316,334,338,353,363,361,351,354,351,374,372,390,403,373,389,404,407,426,432,445,456,463,495,513,529,523,541,556,582,616,651,665,693,742,755,779,796,844,897,964,1040,1130,1150,1230,1330,1400,1460,1530,1630,1740,1840,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,3170,3320,3460,3570,3700,3850,4000
Iran,,,,,,,,,,,,,,,,,,,7780,7090,4950,4560,5520,5630,4940,4860,4220,4090,3690,3800,4160,4570,4630,4630,4460,4560,4630,4610,4660,4560,4780,4750,5040,5410,5570,5680,5900,6330,6280,6250,6530,6620,6090,6000,6180,6020,6750,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4550,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26200,28200,30300,32300,34300,37000,37700,38700,40500,42700,44400,46200,46600,43900,40000,40600,40500,40500,42600,46100,53200,,
Israel,,,,,,,,,,,,14400,15700,15900,16400,16400,16100,16000,16400,17000,16700,17400,17300,17500,17100,17400,18000,19200,19600,19500,20400,20900,21700,22000,23000,24000,24500,24600,25100,25100,25900,25900,25500,25300,26200,27300,28400,29600,29400,28900,30100,31100,30700,31600,32400,32700,33300,
Italy,,,,,,,,,,,17700,18000,18600,19700,20500,20000,21300,21800,22400,23700,24500,24600,24600,24900,25700,26400,27100,28000,29200,30100,30400,30800,31000,30800,31400,32400,32900,33700,34200,34800,36000,36700,36700,36500,37000,37300,38000,38300,37200,35300,35800,35900,34800,33800,33600,33800,34400,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810,4810,4510,4510,4590,4630,4590,4610,4590,4590,
Japan,,,,,,,,,,,18700,19300,20700,22200,21400,21800,22500,23200,24200,25400,25900,26700,27500,28300,29400,30800,31600,33000,35100,36700,38400,39600,39900,39600,39800,40700,42000,42400,41800,41600,42800,42900,42800,43400,44500,45400,46200,47100,46300,43800,45700,45800,46500,47800,48100,48900,47600,
Jordan,,,,,,,,,,,,,,,,,2090,2160,2480,2640,3030,3100,3200,3100,3150,3120,3190,3120,2890,2380,2300,2170,2480,2480,2490,2570,2540,2600,2650,2690,2840,2950,3040,3120,3330,3490,3650,3790,3840,3840,3650,3550,3440,3370,3310,3260,3230,3220
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660,4120,3840,3910,4030,4020,4090,4360,5020,5570,6000,6450,6780,7140,7570,7410,7770,7880,8010,8430,9240,9540,10200,9700,
Kenya,,,,,528,524,580,578,606,640,591,698,787,784,792,776,753,797,822,852,872,872,847,831,814,818,845,863,882,901,897,877,844,804,808,832,856,840,847,840,825,832,816,816,836,869,898,932,912,916,964,999,1010,1040,1060,1100,1130,1160
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41300,42300,43200,41200,39900,38000,38200,
